File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1690.3	0.67686
10	1490.21	0.7843
20	1217.89	0.86883
30	1056.29	0.9061
40	934.357	0.92764
50	837.505	0.94299
60	758.33	0.95321
70	700.259	0.9603
80	648.262	0.96626
90	601.192	0.97086
100	565.177	0.97417
110	528.562	0.9773
120	499.555	0.97985
130	457.794	0.98204
140	434.371	0.98396
150	429.492	0.98541
160	393.61	0.98668
170	377.125	0.98789
180	360.549	0.98874
190	360.144	0.98959
200	331.855	0.99055
240	283.343	0.99292
280	248.731	0.99435
320	222.682	0.9952
360	201.062	0.99597
400	183.517	0.99636
500	153.612	0.99711
