File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1628.48	0.67682
10	1419.33	0.78401
20	1183.01	0.86834
30	1022.56	0.90536
40	906.129	0.92657
50	815.52	0.94167
60	740.544	0.95171
70	679.124	0.95864
80	630.847	0.9645
90	587.118	0.96896
100	549.27	0.97209
110	517.637	0.97513
120	487.911	0.97754
130	451.556	0.97959
140	427.862	0.98147
150	423.001	0.98286
160	390.278	0.98406
170	372.628	0.98517
180	356.521	0.98601
190	356.093	0.98679
200	329.768	0.98764
240	284.903	0.98984
280	247.631	0.99116
320	220.236	0.9919
360	199.495	0.9926
400	182.212	0.99291
500	150.167	0.99359
600	128.958	0.99389
700	112.348	0.99402
800	99.7245	0.9941
900	89.6649	0.99415
1000	81.3481	0.9942
1100	74.5536	0.99424
1200	68.7999	0.99425
1300	63.878	0.99426
1400	62.9363	0.99428
1500	59.027	0.99429
2000	45.1159	0.99429
