File ./data/glove-200-angular_1k/glove-200-angular_1k_query.fvecs loaded
Rows 1000 Cols 200
File ./data/glove-200-angular_1k/glove-200-angular_1k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 1000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	49680.4	0.8746	
20	36297.7	0.9203	
30	29729.7	0.9385	
40	25662.2	0.946	
50	22691.9	0.9513	
60	20850.5	0.9552	
70	19186	0.958	
80	17833	0.9601	
90	16776.6	0.9615	
100	15840.2	0.9622	
110	15061.4	0.9632	
120	14423.1	0.9634	
130	13916.4	0.9639	
140	13391.9	0.964	
150	12965	0.9641	
160	12703.1	0.9642	
170	12325	0.9643	
180	11959.4	0.9644	
190	11628.8	0.9645	
200	11353.1	0.9646	
240	10455	0.9649	
280	9647.41	0.9651	
320	9156.96	0.9652	
360	8603.49	0.9652	
400	8253.4	0.9654	
500	7725.83	0.9663	
600	7370.74	0.9666	
700	7387.86	0.9666	
800	7316.14	0.9666	
900	7309.98	0.9666	
1000	7374.88	0.9666	
1100	7309.05	0.9666	
1200	7360.22	0.9666	
1300	7269.09	0.9666	
1400	7278.92	0.9666	
1500	7230.68	0.9666	
2000	7149.19	0.9666	
2500	7180.71	0.9666	
3000	7160.39	0.9666	
3500	7148.57	0.9666	
4000	7157.56	0.9666	
6000	7092.29	0.9666	
10000	7034.72	0.9666	
15000	6948.29	0.9666	
