File ./data/instructorxl-arxiv-768_10k/instructorxl-arxiv-768_10k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_10k/instructorxl-arxiv-768_10k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 10000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	15828.5	0.8358	
20	11714.6	0.9274	
30	9605.87	0.956	
40	8100.29	0.9717	
50	7081.61	0.9773	
60	6245.89	0.9812	
70	5624.88	0.9836	
80	5144.06	0.985	
90	4721.12	0.9863	
100	4384.23	0.9869	
110	3903.66	0.9871	
120	3641.71	0.9877	
130	3433.04	0.988	
140	3252.87	0.9881	
150	3095.34	0.9884	
160	2950.46	0.9887	
170	2836.13	0.9887	
180	2701.53	0.9887	
190	2588.8	0.9888	
200	2481.21	0.9889	
240	2182.08	0.9894	
280	1960.72	0.9894	
320	1788.04	0.9895	
360	1638.21	0.9896	
400	1529.98	0.9896	
500	1296.47	0.9896	
600	1147.16	0.9896	
700	1036.47	0.9896	
800	964.005	0.9896	
900	897.845	0.9896	
1000	814.215	0.9896	
1100	764.308	0.9896	
1200	716.763	0.9896	
1300	684.126	0.9896	
1400	651.06	0.9896	
1500	618.993	0.9896	
2000	511.65	0.9896	
2500	436.726	0.9896	
3000	386.524	0.9896	
3500	348.217	0.9896	
4000	318.383	0.9896	
6000	241.904	0.9896	
10000	185.321	0.9896	
15000	184.988	0.9896	
