File ./data/sift-128-euclidean/sift-128-euclidean_query.fvecs loaded
Rows 10000 Cols 128
File ./data/sift-128-euclidean/sift-128-euclidean_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	7519.11	0.578072
10	5859.23	0.728681
20	4431.8	0.853394
30	3721.37	0.907651
40	3244.88	0.936547
50	2927.49	0.953721
60	2681.91	0.965006
70	2486.95	0.972364
80	2320.26	0.97731
90	2169.92	0.980841
100	2046.81	0.983404
110	1930.02	0.985302
120	1824.45	0.986784
130	1776.91	0.987822
140	1706.8	0.988621
150	1627.53	0.989226
160	1599.66	0.989733
170	1510.71	0.990099
180	1458.03	0.990428
190	1416	0.990674
200	1397.42	0.990865
240	1246.19	0.991343
280	1131.73	0.99156
320	1026.25	0.99166
360	930.769	0.991709
400	857.883	0.991733
500	718.649	0.99175
600	631.604	0.991756
