File ./data/sift-128-euclidean/sift-128-euclidean_query.fvecs loaded
Rows 10000 Cols 128
File ./data/sift-128-euclidean/sift-128-euclidean_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 1000000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	22769.1	0.70668	
20	13311.3	0.83491	
40	10034.6	0.92278	
50	9193.88	0.94171	
60	8113.58	0.95406	
80	6576.9	0.96869	
100	5570.16	0.97679	
150	3940.29	0.9856	
170	3539.63	0.98727	
190	3210.55	0.98845	
200	3067.69	0.98892	
250	2528.89	0.99059	
300	2122.67	0.99137	
400	1628.95	0.99212	
500	1302.63	0.99243	
600	1089.58	0.99264	
700	926.532	0.99276	
800	802.946	0.99286	
1000	645.656	0.99292	
1500	412.746	0.99303	
2000	311.481	0.99303	
2500	241.231	0.99303	
3000	195.673	0.99303	
