File ./data/sift-128-euclidean/sift-128-euclidean_query.fvecs loaded
Rows 10000 Cols 128
File ./data/sift-128-euclidean/sift-128-euclidean_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	8489.32	0.57743
10	6635.23	0.726907
20	4970.66	0.848954
30	4128.45	0.900456
40	3581.85	0.926759
50	3173.38	0.941707
60	2888.42	0.951082
70	2670.79	0.95706
80	2484.23	0.96103
90	2325.4	0.963718
100	2188.11	0.965628
110	2064.89	0.967065
120	1945.76	0.96818
130	1854.33	0.968945
140	1771.13	0.96953
150	1690.49	0.969956
160	1630.92	0.970325
170	1558.67	0.97061
180	1506.64	0.970862
190	1454.05	0.971035
200	1422.9	0.971164
240	1264.91	0.971517
280	1138.57	0.971677
320	1035.02	0.971748
360	947.382	0.971786
400	868.332	0.971804
500	728.115	0.971818
600	639.488	0.971821
