File ./data/instructorxl-arxiv-768_1k/instructorxl-arxiv-768_1k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_1k/instructorxl-arxiv-768_1k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 1000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	21198	0.9186	
20	16261.8	0.9752	
30	13533.7	0.9872	
40	11845.2	0.9911	
50	10577	0.9917	
60	9610.74	0.9924	
70	8910.3	0.9928	
80	8218.69	0.9931	
90	7708.64	0.9933	
100	7273.9	0.9933	
110	6712.64	0.9933	
120	6441.9	0.9933	
130	6144.03	0.9933	
140	5911.29	0.9933	
150	5686.37	0.9933	
160	5499.34	0.9934	
170	5309.02	0.9934	
180	5153.63	0.9934	
190	5016.67	0.9934	
200	4865.98	0.9934	
240	4397.92	0.9934	
280	4064.05	0.9934	
320	3812.47	0.9934	
360	3614.75	0.9934	
400	3446.59	0.9934	
500	3057.55	0.9934	
600	2807.38	0.9934	
700	2640.1	0.9934	
800	2519.93	0.9934	
900	2421.99	0.9934	
1000	2365.66	0.9934	
1100	2371.41	0.9934	
1200	2373.17	0.9934	
1300	2371.03	0.9934	
1400	2370.67	0.9934	
1500	2372.23	0.9934	
2000	2367.32	0.9934	
2500	2365.19	0.9934	
3000	2363.21	0.9934	
3500	2361.59	0.9934	
4000	2359.87	0.9934	
6000	2354.77	0.9934	
10000	2345.17	0.9934	
15000	2341.42	0.9934	
