File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	8717.21	0.8379	
20	6455.14	0.9196	
30	5086.94	0.9504	
40	4245.42	0.9651	
50	3690.26	0.9734	
60	3244.15	0.9777	
70	2900.66	0.9808	
80	2625.02	0.9827	
90	2409.11	0.9842	
100	2232.31	0.9854	
110	2006.03	0.9867	
120	1876.32	0.9872	
130	1753.64	0.9878	
140	1657.04	0.9882	
150	1578.2	0.9885	
160	1504.7	0.9886	
170	1439.15	0.9887	
180	1372.56	0.9888	
190	1320.02	0.9889	
200	1261.15	0.9889	
240	1085.48	0.9892	
280	950.9	0.9896	
320	861.047	0.9897	
360	781.715	0.9897	
400	717.202	0.9898	
500	597.558	0.9898	
600	522.618	0.99	
700	462.501	0.99	
800	414.871	0.99	
900	376.235	0.9901	
1000	344.916	0.9901	
1100	317.792	0.9901	
1200	294.739	0.9901	
1300	272.467	0.9901	
1400	269.71	0.9901	
1500	254.997	0.9901	
2000	200.233	0.9901	
2500	165.979	0.9901	
3000	141.134	0.9901	
3500	123.158	0.9901	
4000	115.571	0.9901	
6000	80.788	0.9901	
10000	49.6583	0.9901	
15000	32.6122	0.9901	
