File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	11434.5	0.7701	
20	8723.32	0.8746	
30	7132.43	0.918	
40	6054.78	0.9387	
50	5287.27	0.9526	
60	4712.15	0.9623	
70	4220.28	0.9675	
80	3838.39	0.9732	
90	3525.8	0.9754	
100	3265.11	0.978	
110	3002.36	0.981	
120	2809.71	0.9824	
130	2630.59	0.9831	
140	2477.97	0.9842	
150	2340.22	0.9852	
160	2216.74	0.9857	
170	2113.43	0.9859	
180	2020.1	0.9862	
190	1925.65	0.9862	
200	1841.27	0.9866	
240	1589.44	0.9874	
280	1407.03	0.9885	
320	1264.22	0.9892	
360	1141.56	0.9895	
400	1038.87	0.9897	
500	847.738	0.99	
600	732.923	0.9902	
700	640.571	0.9903	
800	569.981	0.9906	
900	513.469	0.9907	
1000	475.286	0.9907	
1100	437.371	0.9907	
1200	404.988	0.9907	
1300	376.898	0.9907	
1400	353.271	0.9907	
1500	331.513	0.9907	
2000	257.416	0.9907	
2500	217.053	0.9907	
3000	182.591	0.9907	
3500	158.398	0.9907	
4000	139.543	0.9907	
6000	98.1229	0.9907	
10000	58.5349	0.9907	
15000	37.6189	0.9908	
