File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	11183.8	0.7768	
20	8569.79	0.8753	
30	7041.58	0.9169	
40	6061.05	0.9376	
50	5225.65	0.9499	
60	4645.91	0.9586	
70	4104.81	0.9656	
80	3725.73	0.97	
90	3445.31	0.9736	
100	3147.82	0.9764	
110	2901.55	0.9779	
120	2713.36	0.9792	
130	2544.17	0.9799	
140	2398.79	0.9805	
150	2272.41	0.9814	
160	2155.97	0.9822	
170	2062.96	0.9825	
180	1960.56	0.9831	
190	1876.09	0.9838	
200	1799.14	0.9844	
240	1554.56	0.9859	
280	1375.59	0.9865	
320	1235.68	0.987	
360	1120.14	0.9876	
400	1014.17	0.9876	
500	831.386	0.9884	
600	721.937	0.9884	
700	633.1	0.9884	
800	568.827	0.9884	
900	508.968	0.9884	
1000	470.539	0.9885	
1100	431.578	0.9886	
1200	401.352	0.9887	
1300	375.595	0.9887	
1400	348.82	0.9887	
1500	330.35	0.9887	
2000	255.266	0.9888	
2500	213.637	0.9888	
3000	180.567	0.9888	
3500	157.388	0.9889	
4000	138.94	0.9889	
6000	97.5788	0.9889	
10000	58.33	0.9889	
15000	37.519	0.989	
