File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	15916.8	0.6337	
20	12376.7	0.7747	
30	10348.4	0.8422	
40	8887.84	0.8746	
50	7946.43	0.8943	
60	7172.99	0.9105	
70	6460.04	0.9212	
80	5941.41	0.9318	
90	5498.07	0.9372	
100	5118.24	0.942	
110	4772.89	0.9464	
120	4478.26	0.9502	
130	4204.69	0.9541	
140	3992.49	0.9578	
150	3786.13	0.9602	
160	3607.43	0.9621	
170	3442.26	0.9639	
180	3290.77	0.9659	
190	3153.96	0.9669	
200	3036.78	0.968	
240	2618.11	0.972	
280	2282.92	0.9755	
320	2028.22	0.9778	
360	1842.34	0.9801	
400	1682.7	0.9814	
500	1387.89	0.9833	
600	1184.71	0.9842	
700	1024.6	0.9846	
800	898.558	0.9851	
900	800.172	0.9857	
1000	723.969	0.9861	
1100	669.245	0.9866	
1200	617.233	0.9868	
1300	572.781	0.9869	
1400	533.329	0.987	
1500	498.558	0.987	
2000	383.948	0.9875	
2500	307.503	0.9876	
3000	255.826	0.9877	
3500	218.016	0.9878	
4000	194.121	0.9878	
6000	125.755	0.9879	
10000	71.9921	0.9879	
15000	44.1064	0.9881	
