File ./data/msong-420/msong-420_query.fvecs loaded
Rows 1000 Cols 420
File ./data/msong-420/msong-420_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 983185
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	15707.7	0.7516	
20	11846.4	0.8679	
40	8127.82	0.9457	
50	7144.42	0.9581	
60	6247.43	0.9667	
80	4705.12	0.9752	
100	3410.71	0.9797	
150	2116.23	0.9854	
170	2606.9	0.9864	
190	2749.78	0.9875	
200	2657.87	0.9877	
250	2231.28	0.9892	
300	1932.66	0.9901	
400	1520.12	0.9904	
500	1251.95	0.9911	
600	1062.92	0.9912	
700	928.976	0.9913	
800	819.789	0.9914	
1000	667.291	0.9915	
1500	457.112	0.9917	
2000	342.842	0.9918	
2500	278.157	0.9918	
3000	230.755	0.9918	
