File ./data/openai-1536-angular/openai-1536-angular_query.fvecs loaded
Rows 1000 Cols 1536
File ./data/openai-1536-angular/openai-1536-angular_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 999000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	4833	0.7512	
20	3649.11	0.8517	
40	2487	0.918	
50	2173.78	0.9361	
60	1922.11	0.9476	
80	1586.66	0.9587	
100	1374.84	0.9679	
150	1008.36	0.9782	
170	912.086	0.981	
190	833.804	0.982	
200	800.776	0.9827	
250	666.552	0.986	
300	575.372	0.9868	
400	449.407	0.9886	
500	370.509	0.9896	
600	315.453	0.9906	
700	273.489	0.9913	
800	241.533	0.9919	
1000	198.212	0.9924	
1500	134.934	0.9931	
2000	103.437	0.9934	
2500	83.3278	0.9937	
3000	70.5836	0.994	
