File ./data/contriever-768/contriever-768_query.fvecs loaded
Rows 10000 Cols 768
File ./data/contriever-768/contriever-768_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 990000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	8298.7	0.61827	
20	6133.69	0.75582	
40	4366.09	0.84485	
50	3854.01	0.86718	
60	3447.13	0.88197	
80	2827.48	0.90038	
100	2414.19	0.91165	
150	1749.74	0.92663	
170	1585.79	0.93073	
190	1441.84	0.93432	
200	1395.78	0.936	
250	1144.95	0.94199	
300	961.49	0.94658	
400	724.484	0.95259	
500	579.356	0.95633	
600	481.073	0.95898	
700	409.931	0.96032	
800	355.405	0.96155	
1000	278.769	0.96373	
1500	180.1	0.96673	
2000	130.12	0.96816	
2500	104.736	0.9693	
3000	85.8005	0.97008	
