File ./data/gist-960-euclidean/gist-960-euclidean_query.fvecs loaded
Rows 1000 Cols 960
File ./data/gist-960-euclidean/gist-960-euclidean_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 1000000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	7748.84	0.4066	
20	5677.29	0.5404	
40	3858.12	0.672	
50	3277.44	0.7166	
60	2906.46	0.7489	
80	2360.26	0.792	
100	1996.7	0.8225	
150	1434.17	0.8768	
170	1307.46	0.8899	
190	1189.6	0.9006	
200	1139.37	0.9058	
250	933.512	0.9233	
300	795.152	0.9366	
400	620.164	0.9503	
500	477.93	0.9583	
600	435.472	0.9645	
700	380.663	0.9672	
800	335.882	0.9697	
1000	276.658	0.9727	
1500	186.778	0.9765	
2000	145.382	0.9788	
2500	115.893	0.9803	
3000	96.7902	0.9806	
