File ./data/deep-image-96-angular/deep-image-96-angular_query.fvecs loaded
Rows 10000 Cols 96
File ./data/deep-image-96-angular/deep-image-96-angular_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 9990000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	15073	0.60626	
20	10680	0.74397	
40	7123.31	0.85202	
50	6151.26	0.88063	
60	5455.05	0.89977	
80	4454.98	0.92418	
100	3803.15	0.93972	
150	2786.15	0.96128	
170	2537.02	0.96631	
190	2345.49	0.97015	
200	2252.47	0.97141	
250	1885.49	0.97692	
300	1614.79	0.98032	
400	1264.6	0.98444	
500	1035.41	0.98682	
600	873.564	0.98831	
700	754.24	0.98933	
800	661.896	0.98999	
1000	531.418	0.9909	
1500	350.105	0.99179	
2000	256.494	0.99234	
2500	202.324	0.99269	
3000	165.894	0.99281	
